id,airline_name_ko,airline_name_en,iata_code
547,위데뢰에 항공,Wideroe,WF
548,위즈 에어 ,Wizz Air,W6
549,위즈 에어 몰타,Wizz Air Malta,W4
550,위즈 에어 아부다비,Wizz Air Abu Dhabi,5W
551,위즈 에어 영국,Wizz Air UK,W9
552,윙고 파나마,Wingo Panama,WH
553,윙즈 에어,Wings Air,IW
554,유나이티드 항공,United Airlines,UA
555,유니 항공,Uni Air,B7
556,유니월드에어카고,Uniworld Air Cargo,U7
557,유니크 에어,Unique Air,6U
558,유럽 항공 차터,European Air Charter,H6
559,유로 애틀랜틱 항공,euroAtlantic airways,YU
560,유로 항공,Euroairlines,Q4
561,유로윙스 유럽 리미티드,Eurowings Europe Limited,E6
562,유로윙즈,Eurowings,EW
563,유얼웨이즈,yourways,YZ
564,유엠 항공,UM Air,UF
565,유테어 항공,Utair Aviation,UT
566,이-카고,E-Cargo,RF
567,이르에어로,IrAero,IO
568,이베로젯,Iberojet,E9
569,이베리아 익스프레스,Iberia Express,I2
570,이베리아 항공,Iberia,IB
571,이스타페타 항공,Estafeta,E7
572,이스턴 에어웨이,Eastern Airways,T3
573,이자비아,Izhavia,I8
574,이즈니스 항공,Eznis Airways,MG
575,이지 차터,Easy Charter,RD
576,이지에어,EZ Air,7Z
577,이지젯,easyJet,U2
578,이지젯 유럽,easyJet Europe,EC
579,이집트항공,EgyptAir,MS
580,이쿼플라이트,Equaflight,E7
581,인도네시아 에어아시아,Indonesia AirAsia,QZ
582,인디고 항공,IndiGo,6E
583,인디아원 에어,IndiaOne Air,I7
584,인티라 항공,Intira Airlines,8B
585,일리암나 에어택시,Iliamna Air Taxi,V8
586,일본 항공,Japan Airlines,JL
587,일본 항공 커뮤터,Japan Air Commuter,JC
588,자지라항공,Jazeera Airways,J9
589,잠보제트,Jambojet,JM
590,잠비아 항공,Zambia Airways,ZN
591,장시 항공,Jiangxi Air,RY
592,적도콩고항공,Equatorial Congo Airlines,LC
593,전일본공수,All Nippon Airways,NH
594,제트 아비아,ZetAvia,ZK
595,제트블루 항공,JetBlue Airways,B6
596,제트스마트 페루,JetSMART Peru,JZ
597,제트스타 아시아,Jetstar Asia,3K
598,제트스타 일본,Jetstar Japan,GK
599,제트스타 항공,Jetstar Airways,JQ
600,조지아 항공,Georgian Airlines,GH
601,주바 항공,Jubba Airways,6J
602,주바 항공 소말리아,Jubba Airways Somalia,3J
603,준야오 항공,Juneyao Air,HO
604,중국 남방 항공,China Southern Airlines,CZ
605,중국 노스웨스턴 국제항공 ,China Northwestern Cargo International Airlines,CO
606,중국 동방 항공,China Eastern Airlines,MU
607,중국 익스프레스 항공,China Express Airlines,G5
608,중국 중앙 항공,China Central Airlines,I9
609,중화 항공,China Airlines,CI
610,지멕스 항공,Zimex Aviation,XM
611,지오스카이,GeoSky,D4
612,집 에어,ZIPAIR,ZG
613,차터 에어 트랜스포트,Charter Air Transport,VC
614,챌린지 항공,Challenge Airlines,X7
615,챌린지 항공 IL,Challenge Airlines IL,5C
616,천진 항공,Tianjin Airlines,GS
617,체어항공 AG,Chair Airlines AG,GM
618,춘추 항공,Spring Airlines,9C
619,충칭 항공,Chongqing Airlines,OQ
620,칭다오 항공,Qingdao Airlines,QW
621,카고 쓰리,Cargo Three,C3
622,카고룩스 국제항공,Cargolux Airlines International,CV
623,카고제트 항공,Cargojet Airways,W8
624,카나리플라이 항공,CanaryFly,PM
